t,x,y,z
1,27,-95,38
2,27,-95,38
3,27,-95,38
4,27,-95,38
5,19,-63,53
6,19,-63,53
7,19,-63,53
8,19,-63,53
9,19,-63,53
10,19,-63,53
11,21,-31,62
12,21,-31,62
13,21,-31,62
14,21,-31,62
15,21,-31,62
16,36,-13,43
17,36,-13,43
18,36,-13,43
19,36,-13,43
20,36,-13,43
21,36,-13,43
22,57,0,19
23,57,0,19
24,6,1,1
25,4,-1,-2
26,4,-1,-2
27,4,-1,-2
28,4,-1,-2
29,4,-1,-2
30,4,-1,-2
31,4,-2,-5
32,5,-2,-5
33,5,-2,-5
34,5,-2,-5
35,5,-2,-5
36,5,-2,-5
37,5,-2,0
38,0,4,0
39,0,4,0
40,0,4,0
41,0,4,0
42,0,4,0
43,0,4,0
44,5,5,-3
45,5,5,-3
46,5,5,-3
47,5,5,-3
48,5,5,-3
49,5,5,-3
50,5,5,-3
51,10,4,-2
52,10,4,-2
53,10,4,-2
54,10,4,-2
55,10,4,-2
56,10,4,-2
57,13,2,-2
58,13,2,-2
59,13,2,-2
60,13,2,-2
61,13,2,-2
62,13,2,-2
63,12,1,2
64,12,1,2
65,12,1,2
66,12,1,2
67,12,1,2
68,12,1,2
69,9,-1,-2
70,9,-1,-2
71,9,-1,-2
72,9,-1,-2
73,9,-1,-2
74,9,-1,-2
75,5,-2,-3
76,5,-2,-3
77,5,-2,-3
78,5,-2,-3
79,5,-2,-3
80,5,-2,-3
81,5,-2,-5
82,8,-2,-5
83,8,-2,-5
84,8,-2,-5
85,8,-2,-5
86,8,-2,-5
87,8,-2,-3
88,10,3,-3
89,10,3,-3
90,10,3,-3
91,10,3,-3
92,10,3,-3
93,10,3,-3
94,4,-3,-3
95,4,-3,-3
96,4,-3,-3
97,4,-3,-3
98,4,-3,-3
99,4,-3,-3
100,9,-5,-3
101,9,-5,-3
102,9,-5,-3
103,9,-5,-3
104,9,-5,-3
105,9,-5,-3
106,10,-5,0
107,10,-5,0
108,10,-5,0
109,10,-5,0
110,10,-5,0
111,10,-5,0
112,3,-4,0
113,3,-4,0
114,3,-4,0
115,3,-4,0
116,3,-4,0
117,3,-4,0
118,4,2,-1
119,4,2,-1
120,4,2,-1
121,4,2,-1
122,4,2,-1
123,4,2,-1
124,4,2,-1
125,6,2,-1
126,6,2,-1
127,6,2,-1
128,6,2,-1
129,6,2,-1
130,6,2,-1
131,6,6,-1
132,6,6,-1
133,6,6,-1
134,6,6,-1
135,6,6,-1
136,6,6,-1
137,6,6,-1
138,7,9,0
139,7,9,0
140,7,9,0
141,7,9,0
142,7,9,0
143,7,9,0
144,9,4,0
145,9,4,0
146,9,4,0
147,9,4,0
148,9,4,0
149,9,4,0
150,9,4,0
151,11,4,0
152,11,4,0
153,11,4,0
154,11,4,0
155,11,4,0
156,11,4,0
157,11,4,-2
158,6,5,-2
159,6,5,-2
160,6,5,-2
161,6,5,-2
162,6,5,-2
163,6,5,-2
164,7,3,-2
165,7,3,-2
166,7,3,-2
167,7,3,-2
168,7,3,-2
169,7,3,-2
170,1,1,-3
171,1,1,-3
172,1,1,-3
173,1,1,-3
174,1,1,-3
175,1,1,-3
176,1,1,-3
177,8,-2,-3
178,8,-2,-3
179,8,-2,-3
180,8,-2,-3
181,8,-2,-3
182,8,-2,-3
183,3,3,-1
184,3,3,-1
185,3,3,-1
186,3,3,-1
187,3,3,-1
188,3,3,-1
189,6,5,-2
190,6,5,-2
191,6,5,-2
192,6,5,-2
193,6,5,-2
194,6,5,-2
195,6,5,-2
196,8,3,-3
197,8,3,-3
198,8,3,-3
199,8,3,-3
200,8,3,-3
201,8,3,-3
202,7,3,-3
203,7,3,-3
204,7,3,-3
205,7,3,-3
206,7,3,-3
207,7,3,-3
208,7,3,-4
209,6,0,-4
210,6,0,-4
211,6,0,-4
212,6,0,-4
213,6,0,-4
214,6,0,-4
215,7,2,0
216,7,2,0
217,7,2,0
218,7,2,0
219,7,2,0
220,7,2,0
221,7,2,0
222,10,1,1
223,10,1,1
224,10,1,1
225,10,1,1
226,10,1,1
227,10,1,1
228,7,-2,1
229,7,-2,1
230,7,-2,1
231,7,-2,1
232,7,-2,1
233,7,-2,1
234,7,-2,0
235,8,1,0
236,8,1,0
237,8,1,0
238,8,1,0
239,8,1,0
240,8,1,0
241,1,-2,-1
242,1,-2,-1
243,1,-2,-1
244,1,-2,-1
245,1,-2,-1
246,1,-2,-1
247,4,1,0
248,4,1,0
249,4,1,0
250,4,1,0
251,4,1,0
252,4,1,0
253,4,1,0
254,1,4,-4
255,1,4,-4
256,1,4,-4
257,1,4,-4
258,1,4,-4
259,1,4,-4
260,1,4,-3
261,3,0,-3
262,3,0,-3
263,3,0,-3
264,3,0,-3
265,3,0,-3
