timestamp,x,y,z
1,11,57,88
2,11,57,88
3,11,57,60
4,0,53,60
5,0,53,60
6,0,53,60
7,0,53,60
8,0,53,60
9,0,53,25
10,-7,53,25
11,-7,53,25
12,-7,53,25
13,-7,53,25
14,-7,53,25
15,-7,46,-5
16,0,46,-5
17,0,46,-5
18,0,46,-5
19,0,46,-5
20,0,46,-5
21,0,46,-31
22,1,48,-31
23,1,48,-31
24,1,48,-31
25,1,48,-31
26,1,48,-31
27,-4,51,-39
28,-4,51,-39
29,-4,51,-39
30,-4,51,-39
31,-4,51,-39
32,-4,51,-39
33,12,56,-30
34,12,56,-30
35,12,56,-30
36,-8,-47,-22
37,-8,-47,-22
38,-4,-50,-29
39,-4,-50,-29
40,-4,-50,-29
41,-4,-50,-29
42,-4,-50,-29
43,-1,-51,-35
44,-1,-51,-35
45,-1,-51,-35
46,-1,-51,-35
47,-1,-51,-35
48,-5,-54,-36
49,-5,-54,-36
50,-5,-54,-36
51,-5,-54,-36
52,-5,-54,-36
53,-5,-54,-36
54,-13,-49,-33
55,-13,-49,-33
56,-13,-49,-33
57,-13,-49,-33
58,-13,-49,-33
59,-5,-44,-29
60,-5,-44,-29
61,-5,-44,-29
62,-5,-44,-29
63,-5,-44,-29
64,-5,-41,-21
65,-5,-41,-21
66,-5,-41,-21
67,-5,-41,-21
68,-5,-41,-21
69,2,-36,-13
70,2,-36,-13
71,2,-36,-13
72,2,-36,-13
73,2,-36,-13
74,2,-36,-13
75,-6,-32,-9
76,-6,-32,-9
77,-6,-32,-9
78,-6,-32,-9
79,-6,-32,-9
80,250,-34,-12
81,3,-34,-12
82,3,-34,-12
83,3,-34,-12
84,3,-34,-12
85,3,-34,-12
86,7,-36,-23
87,7,-36,-23
88,7,-36,-23
89,7,-36,-23
90,7,-36,-23
91,7,-40,-30
92,2,-40,-30
93,2,-40,-30
94,2,-40,-30
95,2,-40,-30
96,2,-40,-30
97,-9,-48,-32
98,-9,-48,-32
99,-9,-48,-32
100,-9,-48,-32
101,-9,-48,-32
102,-14,-48,-32
103,-14,-48,-32
104,-14,-48,-32
105,-14,-48,-32
106,-14,-48,-32
107,-14,-44,-32
108,-20,-44,-32
109,-20,-44,-32
110,-20,-44,-32
111,-20,-44,-32
112,-20,-44,-30
113,-16,-39,-30
114,-16,-39,-30
115,-16,-39,-30
116,-16,-39,-30
117,-16,-39,-30
118,-16,-39,-21
119,-16,-39,-21
120,-16,-39,-21
121,-16,-39,-21
122,-16,-39,-21
123,-9,-35,-13
124,-9,-35,-13
125,-9,-35,-13
126,-9,-35,-13
127,-9,-35,-13
128,-1,-31,-7
129,-1,-31,-7
130,-1,-31,-7
131,-1,-31,-7
132,-1,-31,-7
133,-1,-31,-15
134,10,-36,-15
135,10,-36,-15
136,10,-36,-15
137,10,-36,-15
138,10,-36,-15
139,24,-43,-27
140,24,-43,-27
141,24,-43,-27
142,24,-43,-27
143,24,-43,-27
144,13,-39,-39
145,13,-39,-39
146,13,-39,-39
147,13,-39,-39
148,13,-39,-39
149,13,-39,-44
150,-2,-42,-44
151,-2,-42,-44
152,-2,-42,-44
153,-2,-42,-44
154,-2,-42,-44
155,-4,-43,-43
156,-4,-43,-43
157,-4,-43,-43
158,-4,-43,-43
159,-4,-43,-43
160,-9,-41,-35
161,-9,-41,-35
162,-9,-41,-35
163,-9,-41,-35
164,-9,-41,-35
165,-9,-33,-24
166,-13,-33,-24
167,-13,-33,-24
168,-13,-33,-24
169,-13,-33,-24
170,-13,-33,-24
171,-11,-31,-24
172,-11,-31,-24
173,-11,-31,-24
174,-11,-31,-24
175,-11,-31,-24
176,-11,-35,-25
177,-11,-35,-25
178,-11,-35,-25
179,-11,-35,-25
180,-11,-35,-25
181,-8,-33,-28
182,-8,-33,-28
183,-8,-33,-28
184,-8,-33,-28
185,-8,-33,-28
186,-4,-40,-33
187,-4,-40,-33
188,-4,-40,-33
189,-4,-40,-33
190,-4,-40,-33
191,6,-48,-31
192,6,-48,-31
193,6,-48,-31
194,6,-48,-31
195,6,-48,-31
196,6,-48,-31
197,13,-49,-31
198,13,-49,-31
