timestamp,x,y,z
1,-5,-423,235
2,-5,-423,235
3,-5,-423,235
4,-5,-423,235
5,-5,-423,235
6,-14,-394,243
7,-14,-394,243
8,-14,-394,243
9,-14,-394,243
10,-14,-394,-13
11,-10,-372,239
12,-10,-372,239
13,-10,-372,239
14,-10,-372,239
15,-10,-372,250
16,-10,-357,250
17,-10,-357,250
18,-10,-357,250
19,-10,-357,250
20,-13,-348,267
21,-63,-45,-39
22,63,-45,-39
23,64,-59,-46
24,64,-59,-46
25,64,-59,-46
26,64,-59,-46
27,64,-59,-46
28,67,-63,-57
29,67,-63,-57
30,67,-63,-57
31,67,-63,-57
32,67,-63,-57
33,65,-67,-60
34,65,-67,-60
35,65,-67,-60
36,65,-67,-60
37,65,-67,-60
38,65,-67,-60
39,59,-59,-58
40,59,-59,-58
41,59,-59,-58
42,59,-59,-58
43,59,-59,-58
44,49,-46,-52
45,49,-46,-52
46,49,-46,-52
47,49,-46,-52
48,49,-46,-52
49,37,-32,-42
50,37,-32,-42
51,37,-32,-42
52,37,-32,-42
53,37,-32,-42
54,37,-32,-34
55,14,-23,-34
56,14,-23,-34
57,14,-23,-34
58,14,-23,-34
59,14,-23,-34
60,-8,-19,-32
61,-8,-19,-32
62,-8,-19,-32
63,-8,-19,-32
64,-8,-19,-32
65,-12,-13,-31
66,-12,-13,-31
67,-12,-13,-31
68,-12,-13,-31
69,-12,-13,-31
70,-5,-9,-25
71,-5,-9,-25
72,-5,-9,-25
73,-5,-9,-25
74,-5,-9,-25
75,-5,-9,-25
76,17,-3,-22
77,17,-3,-22
78,17,-3,-22
79,17,-3,-22
80,17,-3,-22
81,40,9,-20
82,40,9,-20
83,40,9,-20
84,40,9,-20
85,40,9,-20
86,40,9,-20
87,51,8,-10
88,51,8,-10
89,51,8,-10
90,51,8,-10
91,51,8,-10
92,51,8,-10
93,30,10,-13
94,30,10,-13
95,30,10,-13
96,30,10,-13
97,30,10,-13
98,30,10,-25
99,2,-2,-25
100,2,-2,-25
101,2,-2,-25
102,2,-2,-25
103,2,-2,-25
104,-15,-1,-35
105,-15,-1,-35
106,-15,-1,-35
107,-15,-1,-35
108,-15,-1,-35
109,-15,-1,-35
110,-17,-8,-40
111,-17,-8,-40
112,-17,-8,-40
113,-17,-8,-40
114,-17,-8,-40
115,-7,-16,-39
116,-7,-16,-39
117,-7,-16,-39
118,-7,-16,-39
119,-7,-16,-39
120,22,-23,-32
121,22,-23,-32
122,22,-23,-32
123,22,-23,-32
124,22,-23,-32
125,22,-23,-32
126,44,-25,-17
127,44,-25,-17
128,44,-25,-17
129,44,-25,-17
130,44,-25,-17
131,50,-14,-4
132,50,-14,-4
133,50,-14,-4
134,50,-14,-4
135,50,-14,-4
136,50,242,9
137,42,-4,9
138,42,-4,9
139,42,-4,9
140,42,-4,9
141,42,-4,9
142,42,-4,15
143,37,-11,15
144,37,-11,15
145,37,-11,15
146,37,-11,15
147,37,-11,15
148,27,-12,7
149,27,-12,7
150,27,-12,7
151,27,-12,7
152,27,-12,7
153,27,-12,7
154,23,-22,-7
155,23,-22,-7
156,23,-22,-7
157,23,-22,-7
158,23,-22,-7
159,23,-22,-24
160,24,-33,-24
161,24,-33,-24
162,24,-33,-24
163,24,-33,-24
164,24,-33,-24
165,21,-39,-39
166,21,-39,-39
167,21,-39,-39
168,21,-39,-39
169,21,-39,-39
170,10,-45,-47
171,10,-45,-47
172,10,-45,-47
173,10,-45,-47
174,10,-45,-47
175,10,-44,-48
176,15,-44,-48
177,15,-44,-48
178,15,-44,-48
179,15,-44,-48
180,15,-44,-48
181,25,-34,-32
182,25,-34,-32
183,25,-34,-32
184,25,-34,-32
185,25,-34,-32
186,33,-16,-20
187,33,-16,-20
188,33,-16,-20
189,33,-16,-20
190,33,-16,-20
191,59,-11,-11
192,59,-11,-11
193,59,-11,-11
194,59,-11,-11
195,59,-11,-11
196,59,-11,-11
197,67,-11,-3
198,67,-11,-3
199,67,-11,-3
200,67,-11,-3
201,67,-11,-3
202,65,-20,-9
203,65,-20,-9
204,65,-20,-9
205,65,-20,-9
206,65,-20,-9
207,65,-20,-9
208,52,-32,-20
209,52,-32,-20
210,52,-32,-20
211,52,-32,-20
212,52,-32,-20
213,50,-40,-22
214,50,-40,-22
215,50,-40,-22
216,50,-40,-22
217,50,-40,-22
218,50,-39,-17
219,38,-39,-17
220,38,-39,-17
221,38,-39,-17
222,38,-39,-17
223,38,-39,-17
224,26,-39,-9
225,26,-39,-9
226,26,-39,-9
227,26,-39,-9
228,26,-39,-9
229,24,-35,0
230,24,-35,0
231,24,-35,0
232,24,-35,0
233,24,-35,0
234,24,-35,0
235,31,-29,5
236,31,-29,5
237,31,-29,5
238,31,-29,5
239,31,-29,5
240,31,-29,5
241,38,-31,6
242,38,-31,6
243,38,-31,6
244,38,-31,6
245,38,-31,6
246,38,-31,6
247,35,-29,5
248,35,-29,5
249,35,-29,5
250,35,-29,5
251,35,-29,5
252,35,-29,1
253,27,-31,1
254,27,-31,1
255,27,-31,1
256,27,-31,1
257,27,-31,1
258,28,-32,4
259,28,-32,4
260,28,-32,4
261,28,-32,4
262,28,-32,4
263,28,-32,4
264,19,-47,2
265,19,-47,2
266,19,-47,2
267,19,-47,2
268,19,-47,2
269,19,-47,2
270,6,-67,7
271,6,-67,7
272,6,-67,7
273,6,-67,7
274,6,-67,7
275,6,-67,7
276,-3,-96,39
277,-3,-96,39
278,-3,-96,39
279,-3,-96,39
280,-3,-96,39
281,-3,-96,39
282,-11,-122,89
283,-11,-122,89
284,-11,-122,89
285,-11,-122,89
286,-11,-122,89
287,-31,-134,151
288,-31,-134,151
289,-31,-134,151
290,-31,-134,151
291,-31,-134,151
292,-60,-138,228
293,-60,-138,228
294,-60,-138,228
295,-60,-138,228
296,-60,-138,228
297,-108,-133,336
298,-108,-133,336
299,-108,-133,336
300,-108,-133,336
301,-160,-109,468
302,-160,-109,468
303,-160,-109,468
304,-160,-109,468
305,-160,-109,468
306,-205,-100,602
307,-205,-100,602
308,-205,-100,602
309,-205,-100,602
310,-205,-100,602
311,-256,-120,720
312,-256,-120,720
313,-256,-120,720
314,-256,-120,720
315,-256,-120,802
316,-318,-153,802
317,-318,-153,802
318,-318,-153,802
319,-318,-153,802
320,-415,-205,845
321,-415,-205,845
322,-415,-205,845
323,-415,-205,845
324,-415,-205,845
325,-534,-269,852
326,-534,-269,852
327,-534,-269,852
328,-534,-269,852
329,-534,-269,852
330,-610,-318,836
331,-610,-318,836
332,-610,-318,836
333,-610,-318,836
334,-580,-360,800
335,-580,-360,800
336,-580,-360,800
337,-580,-360,800
338,-580,-360,800
339,-500,-414,768
340,-500,-414,768
341,-500,-414,768
342,-500,-414,768
343,-500,-414,768
344,-405,-488,782
345,-405,-488,782
346,-405,-488,782
347,-405,-488,782
348,-405,-488,823
349,-293,-527,823
350,-293,-527,823
351,-293,-527,823
352,-293,-527,823
353,-177,-494,900
354,-177,-494,900
355,-177,-494,900
356,-177,-494,900
357,-177,-494,900
358,-135,-459,1017
359,-135,-459,1017
360,-135,-459,1017
361,-135,-459,1017
362,-135,-459,1116
363,-214,-486,1116
364,-214,-486,1116
365,-214,-486,1116
366,-214,-486,1116
367,-308,-458,1174
368,-308,-458,1174
369,-308,-458,1174
370,-308,-458,1174
371,-308,-458,1174
372,-352,-352,1186
373,-352,-352,1186
374,-352,-352,1186
375,-352,-352,1186
376,-348,-218,1141
377,-348,-218,1141
378,-348,-218,1141
379,-348,-218,1141
380,-348,-218,1141
381,-268,-122,1048
382,-268,-122,1048
383,-268,-122,1048
384,-268,-122,1048
385,-116,-124,878
386,-116,-124,878
387,-116,-124,878
388,-116,-124,878
389,-116,-124,878
390,104,-205,638
391,104,-205,638
392,104,-205,638
393,104,-205,638
394,104,-205,638
395,369,-297,398
396,369,-297,398
397,369,-297,398
398,369,-297,398
399,369,-297,398
400,609,-361,217
401,609,-361,217
402,609,-361,217
403,609,-361,217
404,609,-361,217
405,774,-437,110
406,774,-437,110
407,774,-437,110
408,774,-437,110
409,774,-437,47
410,893,-486,47
411,893,-486,47
412,893,-486,47
413,893,-486,47
414,893,-486,47
415,986,-430,7
416,986,-430,7
417,986,-430,7
418,986,-430,7
419,986,-430,7
420,970,-356,-22
421,970,-356,-22
422,970,-356,-22
423,970,-356,-22
424,970,-356,-22
425,847,-330,-77
426,847,-330,-77
427,847,-330,-77
428,847,-330,-77
429,847,-330,-77
430,741,-343,-147
431,741,-343,-147
432,741,-343,-147
433,741,-343,-147
434,741,-343,-234
435,774,-385,-234
436,774,-385,-234
437,774,-385,-234
438,774,-385,-234
439,975,-361,-360
440,975,-361,-360
441,975,-361,-360
442,975,-361,-360
443,975,-361,-360
444,1270,-295,-455
445,1270,-295,-455
446,1270,-295,-455
447,1270,-295,-455
448,1270,-295,-424
449,1607,-278,-424
450,1607,-278,-424
451,1607,-278,-424
452,1607,-278,-424
453,1868,-305,-321
454,1868,-305,-321
455,1868,-305,-321
456,1868,-305,-321
457,1868,-305,-321
458,1916,-425,-308
459,1916,-425,-308
460,1916,-425,-308
461,1916,-425,-308
462,1747,-529,-480
463,1747,-529,-480
464,1747,-529,-480
465,1747,-529,-480
466,1747,-529,-480
467,1483,-553,-747
468,1483,-553,-747
469,1483,-553,-747
470,1483,-553,-747
471,1252,-331,-880
472,1252,-331,-880
473,1252,-331,-880
474,1252,-331,-880
475,1252,-331,-880
476,1165,54,-717
477,1165,54,-717
478,1165,54,-717
479,1165,54,-717
480,1165,54,-461
481,1241,396,-345
482,1241,396,-345
483,1241,396,-345
484,1241,396,-345
485,1460,602,35
486,1460,602,35
487,1460,602,35
488,1460,602,35
489,1460,602,35
490,1784,681,253
491,1784,681,253
492,1784,681,253
493,1784,681,253
494,1784,681,253
495,1885,605,328
496,1885,605,328
497,1885,605,328
498,1885,605,328
499,1885,605,328
500,1656,424,339
501,1656,424,339
502,1656,424,339
503,1656,424,339
504,1656,424,339
505,1308,318,210
506,1308,318,210
507,1308,318,210
508,1308,318,210
509,1308,318,210
510,1081,368,-51
511,1081,368,-51
512,1081,368,-51
513,1081,368,-51
514,1081,368,-51
515,1051,494,-187
516,1051,494,-187
517,1051,494,-187
518,1051,494,-187
519,1051,494,-187
520,1183,573,-35
521,1183,573,-35
522,1183,573,-35
523,1183,573,-35
524,1183,573,310
525,1403,583,310
526,1403,583,310
527,1403,583,310
528,1403,583,310
529,1692,471,722
530,1692,471,722
531,1692,471,722
532,1692,471,722
533,1692,471,722
534,2009,472,1081
535,2009,472,1081
536,2009,472,1081
537,2009,472,1081
538,2009,472,1081
539,2188,535,1334
540,2188,535,1334
541,2188,535,1334
542,2188,535,1334
543,2188,535,1334
544,2157,487,1437
545,2157,487,1437
546,2157,487,1437
547,2157,487,1437
548,2157,487,1332
549,2142,416,1332
550,2142,416,1332
551,2142,416,1332
552,2142,416,1332
553,2395,548,927
554,2395,548,927
555,2395,548,927
556,2395,548,927
557,2395,548,927
558,2747,773,312
559,2747,773,312
560,2747,773,312
561,2747,773,312
562,2747,773,312
563,2810,703,-361
564,2810,703,-361
565,2810,703,-361
566,2810,703,-361
567,2810,703,-361
568,2508,207,-986
569,2508,207,-986
570,2508,207,-986
571,2508,207,-986
572,2017,-325,-1422
573,2017,-325,-1422
574,2017,-325,-1422
575,2017,-325,-1422
576,2017,-325,-1422
577,1381,-561,-1458
578,1381,-561,-1458
579,1381,-561,-1458
580,1381,-561,-1458
581,469,-541,-1003
582,469,-541,-1003
583,469,-541,-1003
584,469,-541,-1003
585,469,-541,-1003
586,-611,-328,-204
587,-611,-328,-204
588,-611,-328,-204
589,-611,-328,-204
590,-1375,11,599
591,-1375,11,599
592,-1375,11,599
593,-1375,11,599
594,-1375,11,599
595,-1550,372,1154
596,-1550,372,1154
597,-1550,372,1154
598,-1550,372,1154
599,-1550,372,1154
600,-1290,577,1332
601,-1290,577,1332
602,-1290,577,1332
603,-1290,577,1332
604,-835,429,1050
605,-835,429,1050
606,-835,429,1050
607,-835,429,1050
608,-835,429,1050
609,-368,28,409
610,-368,28,409
611,-368,28,409
612,-368,28,409
613,-368,28,409
614,-182,-324,-230
615,-182,-324,-230
616,-182,-324,-230
617,-182,-324,-230
618,-182,-324,-230
619,-161,-542,-669
620,-161,-542,-669
621,-161,-542,-669
622,-161,-542,-669
623,-114,-538,-794
624,-114,-538,-794
625,-114,-538,-794
626,-114,-538,-794
627,-114,-538,-794
628,-9,-345,-657
629,-9,-345,-657
630,-9,-345,-657
631,-9,-345,-657
632,-9,-345,-328
633,90,-73,-328
634,90,-73,-328
635,90,-73,-328
636,90,-73,-328
637,90,-73,184
638,115,80,39
