x,y,z
8,-1,1
8,-1,1
8,-1,1
8,-1,1
8,-1,1
8,-1,1
15,-2,-1
15,-2,-1
15,-2,-1
15,-2,-1
15,-2,-1
15,-2,-1
-2,-4,1
-2,-4,1
-2,-4,1
-2,-4,1
-2,-4,1
-2,-4,1
-9,-1,-1
-9,-1,-1
-9,-1,-1
-9,-1,-1
-9,-1,-1
-9,-1,-1
-10,4,-1
-10,4,-1
-10,4,-1
-10,4,-1
-10,4,-1
-4,1,-1
-4,1,-1
-4,1,-1
-4,1,-1
-4,1,-1
-4,1,-1
-4,4,-1
-4,4,-1
-4,4,-1
-4,4,-1
-4,4,-1
-4,4,-1
-4,4,0
-5,-1,0
-5,-1,0
-5,-1,0
-5,-1,0
-5,-1,0
-5,-1,0
-2,0,-1
-2,0,-1
-2,0,-1
-2,0,-1
-2,0,-1
-2,0,-1
-13,1,-1
-13,1,-1
-13,1,-1
-13,1,-1
-13,1,-1
-13,1,1
-7,-3,1
-7,-3,1
-7,-3,1
-7,-3,1
-7,-3,1
-7,-3,1
1,1,-1
1,1,-1
1,1,-1
1,1,-1
1,1,-1
1,1,-1
-8,2,-2
-8,2,-2
-8,2,-2
-8,2,-2
-8,2,-2
-8,2,-2
-8,-1,-4
-8,-1,-4
-8,-1,-4
-8,-1,-4
-8,-1,-4
-8,-1,-4
-4,1,-4
-4,1,-4
-4,1,-4
-4,1,-4
-4,1,-4
-4,1,-4
-6,3,2
-6,3,2
-6,3,2
-6,3,2
-6,3,2
-6,3,2
2,4,1
2,4,1
2,4,1
2,4,1
2,4,1
2,4,1
2,4,1
2,0,-2
2,0,-2
2,0,-2
2,0,-2
2,0,-2
2,0,-2
2,0,-2
3,-2,-2
3,-2,-2
3,-2,-2
3,-2,-2
3,-2,-2
3,-2,-2
7,1,-4
7,1,-4
7,1,-4
7,1,-4
7,1,-4
7,1,-4
0,-2,-1
0,-2,-1
0,-2,-1
0,-2,-1
0,-2,-1
0,-2,-1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
3,3,1
3,3,1
3,3,1
3,3,1
3,3,1
3,3,1
3,3,1
-9,1,0
-9,1,0
-9,1,0
-9,1,0
-9,1,0
-9,1,0
-3,-1,-1
-3,-1,-1
-3,-1,-1
-3,-1,-1
-3,-1,-1
-3,-1,-1
-4,3,1
-4,3,1
-4,3,1
-4,3,1
-4,3,1
-4,3,1
-7,5,-3
-7,5,-3
-7,5,-3
-7,5,-3
-7,5,-3
-7,5,-3
-12,4,0
-12,4,0
-12,4,0
-12,4,0
-12,4,0
-12,4,0
-12,2,2
-13,2,2
-13,2,2
-13,2,2
-13,2,2
-13,2,2
-13,2,1
6,-1,1
6,-1,1
6,-1,1
6,-1,1
6,-1,1
6,-1,1
12,-2,-2
12,-2,-2
12,-2,-2
12,-2,-2
12,-2,-2
12,-2,-2
6,-2,-6
6,-2,-6
6,-2,-6
6,-2,-6
6,-2,-6
6,-2,-6
-1,0,-1
-1,0,-1
-1,0,-1
-1,0,-1
-1,0,-1
-1,0,-1
7,2,-2
7,2,-2
7,2,-2
7,2,-2
7,2,-2
7,2,-2
-2,1,-1
-2,1,-1
-2,1,-1
-2,1,-1
-2,1,-1
-2,1,-1
-2,3,2
-2,3,2
-2,3,2
-2,3,2
-2,3,2
-2,3,2
-2,3,2
2,-1,1
2,-1,1
2,-1,1
2,-1,1
